fill,y,x,density,scaled,count,group,PANEL,ymin,ymax
#F8766D,0.0454545454545455,0.0454545454545455,2.90818299829441e-18,7.68321228872161e-18,1.4540914991472e-16,1,1,0.0454545454545455,0.0454545454545455
#F8766D,0.0454545454545455,0.0472335883294788,0,0,0,1,1,0.0454545454545455,0.0454545454545455
#F8766D,0.0454545454545455,0.049012631204412,0,0,0,1,1,0.0454545454545455,0.0454545454545455
#F8766D,0.0454545454545455,0.0507916740793453,0,0,0,1,1,0.0454545454545455,0.0454545454545455
#F8766D,0.0454545454545455,0.0525707169542786,0,0,0,1,1,0.0454545454545455,0.0454545454545455
#F8766D,0.0454545454545455,0.0543497598292119,0,0,0,1,1,0.0454545454545455,0.0454545454545455
#F8766D,0.0454545454545455,0.0561288027041452,3.90393385868894e-20,1.03139151198623e-19,1.95196692934447e-18,1,1,0.0454545454545455,0.0454545454545455
#F8766D,0.0454545454545455,0.0579078455790785,5.73583296099133e-18,1.51536620349507e-17,2.86791648049567e-16,1,1,0.0454545454545455,0.0454545454545455
#F8766D,0.0454545454545455,0.0596868884540118,1.99734767340993e-17,5.27685025261231e-17,9.98673836704964e-16,1,1,0.0454545454545455,0.0454545454545455
#F8766D,0.0454545454545456,0.061465931328945,5.99840778421183e-17,1.58473660108215e-16,2.99920389210592e-15,1,1,0.0454545454545455,0.0454545454545456
#F8766D,0.0454545454545459,0.0632449742038783,1.67180994406156e-16,4.41680276452823e-16,8.35904972030779e-15,1,1,0.0454545454545455,0.0454545454545459
#F8766D,0.0454545454545464,0.0650240170788116,4.144753099693e-16,1.09501423974883e-15,2.0723765498465e-14,1,1,0.0454545454545455,0.0454545454545464
#F8766D,0.0454545454545478,0.0668030599537449,9.69897213242219e-16,2.56239933730094e-15,4.8494860662111e-14,1,1,0.0454545454545455,0.0454545454545478
#F8766D,0.0454545454545508,0.0685821028286782,2.21403190275399e-15,5.84931454892544e-15,1.10701595137699e-13,1,1,0.0454545454545455,0.0454545454545508
#F8766D,0.0454545454545573,0.0703611457036115,4.91404291902627e-15,1.29825512923055e-14,2.45702145951313e-13,1,1,0.0454545454545455,0.0454545454545573
#F8766D,0.0454545454545737,0.0721401885785448,1.17577909907415e-14,3.10632461166531e-14,5.87889549537075e-13,1,1,0.0454545454545455,0.0454545454545737
#F8766D,0.0454545454546125,0.073919231453478,2.79236703878607e-14,7.37723477497972e-14,1.39618351939304e-12,1,1,0.0454545454545455,0.0454545454546125
#F8766D,0.0454545454547012,0.0756982743284113,6.484441900194e-14,1.7131433517867e-13,3.242220950097e-12,1,1,0.0454545454545455,0.0454545454547012
#F8766D,0.0454545454548991,0.0774773172033446,1.47226263058224e-13,3.88961297901445e-13,7.36131315291122e-12,1,1,0.0454545454545455,0.0454545454548991
