linetype,x,y,group,PANEL
solid,0.0454545454545455,0.159217319317844,1,1
solid,0.146464646464646,0.205139219701055,1,1
solid,0.247474747474748,0.287832997464314,1,1
solid,0.348484848484849,0.346669216601926,1,1
solid,0.44949494949495,0.403170719837266,1,1
solid,0.550505050505051,0.466449267313765,1,1
solid,0.651515151515152,0.559662929207426,1,1
solid,0.752525252525253,0.602115646860414,1,1
solid,0.853535353535354,0.689465332977588,1,1
solid,0.954545454545455,0.707208876428466,1,1
solid,0.0454545454545455,0.144116233750651,2,1
solid,0.146464646464646,0.149867128527096,2,1
solid,0.247474747474748,0.206627367058184,2,1
solid,0.348484848484849,0.277481872185911,2,1
solid,0.44949494949495,0.33169022315719,2,1
solid,0.550505050505051,0.369016142935563,2,1
solid,0.651515151515152,0.473959704194567,2,1
solid,0.752525252525253,0.502989127239272,2,1
solid,0.853535353535354,0.571372908926893,2,1
solid,0.954545454545455,0.623883417010871,2,1
3133,0.0454545454545455,0.149971450152036,3,1
3133,0.146464646464646,0.194714412069556,3,1
3133,0.247474747474748,0.207101375225521,3,1
3133,0.348484848484849,0.26155515303916,3,1
3133,0.44949494949495,0.283191430164697,3,1
3133,0.550505050505051,0.33030498945006,3,1
3133,0.651515151515152,0.389238705815744,3,1
3133,0.752525252525253,0.425085217055041,3,1
3133,0.853535353535354,0.474539374061039,3,1
3133,0.954545454545455,0.491740070426897,3,1
solid,0.0454545454545455,0.255159913428763,4,1
solid,0.146464646464646,0.323775993881744,4,1
solid,0.247474747474748,0.419315160824267,4,1
solid,0.348484848484849,0.481921355606361,4,1
solid,0.44949494949495,0.544189529409689,4,1
solid,0.550505050505051,0.605235379806258,4,1
solid,0.651515151515152,0.667451879345273,4,1
solid,0.752525252525253,0.708834718143966,4,1
solid,0.853535353535354,0.798970437536177,4,1
solid,0.954545454545455,0.846935734122911,4,1
solid,0.0454545454545455,0.185632148389396,5,1
solid,0.146464646464646,0.230127110277223,5,1
solid,0.247474747474748,0.255348130216023,5,1
solid,0.348484848484849,0.312635218802659,5,1
solid,0.44949494949495,0.345522573946597,5,1
solid,0.550505050505051,0.390399534871713,5,1
solid,0.651515151515152,0.449190637813454,5,1
solid,0.752525252525253,0.43466485756832,5,1
solid,0.853535353535354,0.500936989037056,5,1
solid,0.954545454545455,0.550962072096518,5,1
solid,0.0454545454545455,0.178139556671709,6,1
solid,0.146464646464646,0.249366426754279,6,1
solid,0.247474747474748,0.27990973443422,6,1
solid,0.348484848484849,0.369421302969886,6,1
solid,0.44949494949495,0.421908553898878,6,1
solid,0.550505050505051,0.441979891253073,6,1
solid,0.651515151515152,0.477827360552402,6,1
solid,0.752525252525253,0.568784064502476,6,1
solid,0.853535353535354,0.628314471332603,6,1
solid,0.954545454545455,0.665612007794595,6,1
solid,0.0454545454545455,0.161388497134882,7,1
solid,0.146464646464646,0.169793544303441,7,1
solid,0.247474747474748,0.23545162933707,7,1
solid,0.348484848484849,0.284959688877172,7,1
solid,0.44949494949495,0.325697892994383,7,1
solid,0.550505050505051,0.395058230830086,7,1
solid,0.651515151515152,0.432370515783565,7,1
solid,0.752525252525253,0.507799833828758,7,1
solid,0.853535353535354,0.560285850198149,7,1
solid,0.954545454545455,0.641836414820665,7,1
3133,0.0454545454545455,0.0539205289457892,8,1
3133,0.146464646464646,0.084259829853582,8,1
3133,0.247474747474748,0.119739601347827,8,1
3133,0.348484848484849,0.166867106288608,8,1
3133,0.44949494949495,0.201320760502853,8,1
3133,0.550505050505051,0.252880329518831,8,1
3133,0.651515151515152,0.27834500776641,8,1
3133,0.752525252525253,0.318679162827942,8,1
3133,0.853535353535354,0.371108773049834,8,1
3133,0.954545454545455,0.347559732489753,8,1
solid,0.0454545454545455,0.192547235280347,9,1
solid,0.146464646464646,0.24599404727009,9,1
solid,0.247474747474748,0.269655695682113,9,1
solid,0.348484848484849,0.340391104155108,9,1
solid,0.44949494949495,0.417475845742085,9,1
solid,0.550505050505051,0.43131514585134,9,1
solid,0.651515151515152,0.478011037609201,9,1
solid,0.752525252525253,0.514206006810413,9,1
solid,0.853535353535354,0.582971285379718,9,1
solid,0.954545454545455,0.633010248113589,9,1
solid,0.0454545454545455,0.211561546493688,10,1
solid,0.146464646464646,0.266758035474321,10,1
solid,0.247474747474748,0.293410751089805,10,1
solid,0.348484848484849,0.34712448515666,10,1
solid,0.44949494949495,0.354083526065862,10,1
solid,0.550505050505051,0.390658067543971,10,1
solid,0.651515151515152,0.46927267679632,10,1
solid,0.752525252525253,0.482486658434679,10,1
solid,0.853535353535354,0.528271441417071,10,1
solid,0.954545454545455,0.573700235916835,10,1
solid,0.0454545454545455,0.26178769875964,11,1
solid,0.146464646464646,0.322141036799562,11,1
solid,0.247474747474748,0.399096348847076,11,1
solid,0.348484848484849,0.463415050815226,11,1
solid,0.44949494949495,0.524472737615323,11,1
solid,0.550505050505051,0.621530006831343,11,1
solid,0.651515151515152,0.695534096896354,11,1
solid,0.752525252525253,0.736108201764469,11,1
solid,0.853535353535354,0.789700433063426,11,1
solid,0.954545454545455,0.875705729583859,11,1
solid,0.0454545454545455,0.0454545454545455,12,1
solid,0.146464646464646,0.141603155783586,12,1
solid,0.247474747474748,0.24791627539498,12,1
solid,0.348484848484849,0.314322563362456,12,1
solid,0.44949494949495,0.376773060444939,12,1
solid,0.550505050505051,0.436866333544683,12,1
solid,0.651515151515152,0.55633852834428,12,1
solid,0.752525252525253,0.632046571415508,12,1
solid,0.853535353535354,0.680681625265709,12,1
solid,0.954545454545455,0.741977311978154,12,1
solid,0.0454545454545455,0.289880037008647,13,1
solid,0.146464646464646,0.331452323373861,13,1
solid,0.247474747474748,0.374314037377042,13,1
solid,0.348484848484849,0.45510802869732,13,1
solid,0.44949494949495,0.525441177455722,13,1
