size,x,y,group,PANEL
2,0.0454545454545455,0.0965462740104581,1,1
2,0.146464646464646,0.115607342054608,1,1
2,0.247474747474748,0.158386073985155,1,1
2,0.348484848484849,0.228236910876421,1,1
2,0.44949494949495,0.241934031288479,1,1
2,0.550505050505051,0.289795468163953,1,1
2,0.651515151515152,0.323086299760293,1,1
2,0.752525252525253,0.379273389621619,1,1
2,0.853535353535354,0.449213464706118,1,1
2,0.954545454545455,0.467691413577649,1,1
1,0.0454545454545455,0.0496758476696941,2,1
1,0.146464646464646,0.135920020934679,2,1
1,0.247474747474748,0.212888585865758,2,1
1,0.348484848484849,0.293502902094712,2,1
1,0.44949494949495,0.384822912784617,2,1
1,0.550505050505051,0.459465820438305,2,1
1,0.651515151515152,0.492388461058781,2,1
1,0.752525252525253,0.605671759472031,2,1
1,0.853535353535354,0.652024733898256,2,1
1,0.954545454545455,0.732965586573786,2,1
2,0.0454545454545455,0.100834868578365,3,1
2,0.146464646464646,0.165554779476671,3,1
2,0.247474747474748,0.230976298883123,3,1
2,0.348484848484849,0.336878413284899,3,1
2,0.44949494949495,0.415031157995162,3,1
2,0.550505050505051,0.506155253957533,3,1
2,0.651515151515152,0.582089219686713,3,1
2,0.752525252525253,0.665568416198487,3,1
2,0.853535353535354,0.729289846692052,3,1
2,0.954545454545455,0.828875454890558,3,1
3,0.0454545454545455,0.167255409642289,4,1
3,0.146464646464646,0.243913160616653,4,1
3,0.247474747474748,0.309585846006823,4,1
3,0.348484848484849,0.396674818029147,4,1
3,0.44949494949495,0.482796561836995,4,1
3,0.550505050505051,0.594049163595592,4,1
3,0.651515151515152,0.652757079053729,4,1
3,0.752525252525253,0.769290186065821,4,1
3,0.853535353535354,0.829206023039188,4,1
3,0.954545454545455,0.918080129561085,4,1
1,0.0454545454545455,0.071114911731689,5,1
1,0.146464646464646,0.142139174289058,5,1
1,0.247474747474748,0.192108111321667,5,1
1,0.348484848484849,0.277026066335697,5,1
1,0.44949494949495,0.339618468606021,5,1
1,0.550505050505051,0.406656343911133,5,1
1,0.651515151515152,0.483391266791062,5,1
1,0.752525252525253,0.563268425169125,5,1
1,0.853535353535354,0.632055184294792,5,1
1,0.954545454545455,0.682527051609977,5,1
1,0.0454545454545455,0.0542995282526127,6,1
1,0.146464646464646,0.119973371773271,6,1
1,0.247474747474748,0.14054508761587,6,1
1,0.348484848484849,0.229680215708499,6,1
1,0.44949494949495,0.280018346827157,6,1
1,0.550505050505051,0.298486192877274,6,1
1,0.651515151515152,0.370116138038809,6,1
1,0.752525252525253,0.406026109368017,6,1
1,0.853535353535354,0.413119012660566,6,1
1,0.954545454545455,0.501989836750236,6,1
1,0.0454545454545455,0.0790135639638047,7,1
1,0.146464646464646,0.132654573986209,7,1
1,0.247474747474748,0.201365202096462,7,1
1,0.348484848484849,0.247117434567972,7,1
1,0.44949494949495,0.329044776127385,7,1
1,0.550505050505051,0.350344219331657,7,1
1,0.651515151515152,0.500121063809205,7,1
1,0.752525252525253,0.50001636280189,7,1
1,0.853535353535354,0.547179985184235,7,1
1,0.954545454545455,0.642072506318081,7,1
3,0.0454545454545455,0.203912586406855,8,1
3,0.146464646464646,0.257097155723029,8,1
3,0.247474747474748,0.373511298010389,8,1
3,0.348484848484849,0.428681300369048,8,1
3,0.44949494949495,0.500507220421389,8,1
3,0.550505050505051,0.611189920919461,8,1
3,0.651515151515152,0.678541912717713,8,1
3,0.752525252525253,0.769892748590367,8,1
3,0.853535353535354,0.884500186716056,8,1
3,0.954545454545455,0.954545454545455,8,1
1,0.0454545454545455,0.0454545454545455,9,1
1,0.146464646464646,0.150130278810434,9,1
1,0.247474747474748,0.240732980528256,9,1
1,0.348484848484849,0.324541018196596,9,1
1,0.44949494949495,0.396434014816495,9,1
1,0.550505050505051,0.510938635386308,9,1
1,0.651515151515152,0.623566836396307,9,1
1,0.752525252525253,0.691724242862006,9,1
1,0.853535353535354,0.806050120166237,9,1
1,0.954545454545455,0.876793224514006,9,1
3,0.0454545454545455,0.183471492566358,10,1
3,0.146464646464646,0.238016696408971,10,1
3,0.247474747474748,0.296743628139894,10,1
3,0.348484848484849,0.334644178980628,10,1
3,0.44949494949495,0.369844921087654,10,1
3,0.550505050505051,0.426969882877969,10,1
3,0.651515151515152,0.519952698432654,10,1
3,0.752525252525253,0.573307498067959,10,1
3,0.853535353535354,0.630522480535313,10,1
3,0.954545454545455,0.672016509959611,10,1
