alpha,colour,x,y,group,PANEL
0.2244,#336B99,0.0454545454545455,0.214214856404004,1,1
0.2244,#336B99,0.146464646464646,0.238603194818182,1,1
0.2244,#336B99,0.247474747474748,0.297622708330379,1,1
0.2244,#336B99,0.348484848484849,0.328604408781555,1,1
0.2244,#336B99,0.44949494949495,0.373704735227143,1,1
0.2244,#336B99,0.550505050505051,0.399224892726083,1,1
0.2244,#336B99,0.651515151515152,0.423542573363135,1,1
0.2244,#336B99,0.752525252525253,0.497955907770458,1,1
0.2244,#336B99,0.853535353535354,0.525543934728032,1,1
0.2244,#336B99,0.954545454545455,0.57733287988391,1,1
0.1788,#356F9E,0.0454545454545455,0.152447554101816,2,1
0.1788,#356F9E,0.146464646464646,0.207714977965774,2,1
0.1788,#356F9E,0.247474747474748,0.244771085696078,2,1
0.1788,#356F9E,0.348484848484849,0.296393150447371,2,1
0.1788,#356F9E,0.44949494949495,0.355332877479115,2,1
0.1788,#356F9E,0.550505050505051,0.382558135389358,2,1
0.1788,#356F9E,0.651515151515152,0.4461517602821,2,1
0.1788,#356F9E,0.752525252525253,0.498166741696297,2,1
0.1788,#356F9E,0.853535353535354,0.54340162075182,2,1
0.1788,#356F9E,0.954545454545455,0.599411741019456,2,1
0.176,#27537A,0.0454545454545455,0.14857217569284,3,1
0.176,#27537A,0.146464646464646,0.180634451885481,3,1
0.176,#27537A,0.247474747474748,0.227660832889715,3,1
0.176,#27537A,0.348484848484849,0.253820980031853,3,1
0.176,#27537A,0.44949494949495,0.275756608313029,3,1
0.176,#27537A,0.550505050505051,0.311851378808799,3,1
0.176,#27537A,0.651515151515152,0.341346812962011,3,1
0.176,#27537A,0.752525252525253,0.360238312416658,3,1
0.176,#27537A,0.853535353535354,0.399360394527298,3,1
0.176,#27537A,0.954545454545455,0.441033945629287,3,1
0.2284,#316693,0.0454545454545455,0.219633354164656,4,1
0.2284,#316693,0.146464646464646,0.262396241996201,4,1
0.2284,#316693,0.247474747474748,0.293747219196458,4,1
0.2284,#316693,0.348484848484849,0.314431624429246,4,1
0.2284,#316693,0.44949494949495,0.357357846134559,4,1
0.2284,#316693,0.550505050505051,0.400258595869433,4,1
0.2284,#316693,0.651515151515152,0.418853067751962,4,1
0.2284,#316693,0.752525252525253,0.470246403067362,4,1
0.2284,#316693,0.853535353535354,0.49701892094488,4,1
0.2284,#316693,0.954545454545455,0.552423265310188,4,1
0.1884,#265176,0.0454545454545455,0.165376532840953,5,1
0.1884,#265176,0.146464646464646,0.210805655744318,5,1
0.1884,#265176,0.247474747474748,0.234204707581982,5,1
0.1884,#265176,0.348484848484849,0.261628856563916,5,1
0.1884,#265176,0.44949494949495,0.275109254292181,5,1
0.1884,#265176,0.550505050505051,0.304496492419736,5,1
0.1884,#265176,0.651515151515152,0.342746788530691,5,1
0.1884,#265176,0.752525252525253,0.368741590836632,5,1
0.1884,#265176,0.853535353535354,0.390141515442367,5,1
0.1884,#265176,0.954545454545455,0.423663300108253,5,1
0.2144,#3978AA,0.0454545454545455,0.200453442418392,6,1
0.2144,#3978AA,0.146464646464646,0.247307655279152,6,1
0.2144,#3978AA,0.247474747474748,0.299826801712208,6,1
