fill	y	count	x	ndensity	ncount	density	group	ymin	ymax	xmin	xmax	colour	size
#132B43	0.0454545454545455	0	0.0652173913043478	0	0	0	1	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0849802371541502	#132B43	0
#55B1F7	0.954545454545455	7	0.104743083003953	1	1	0.14	1	0.0454545454545455	0.954545454545455	0.0849802371541502	0.124505928853755	#55B1F7	0
#4B9CDB	0.824675324675325	6	0.144268774703557	0.857142857142857	0.857142857142857	0.12	1	0.0454545454545455	0.824675324675325	0.124505928853755	0.16403162055336	#4B9CDB	0
#4187BF	0.694805194805195	5	0.183794466403162	0.714285714285714	0.714285714285714	0.1	1	0.0454545454545455	0.694805194805195	0.16403162055336	0.203557312252964	#4187BF	0
#4B9CDB	0.824675324675325	6	0.223320158102767	0.857142857142857	0.857142857142857	0.12	1	0.0454545454545455	0.824675324675325	0.203557312252964	0.243083003952569	#4B9CDB	0
#244D72	0.305194805194805	2	0.262845849802372	0.285714285714286	0.285714285714286	0.04	1	0.0454545454545455	0.305194805194805	0.243083003952569	0.282608695652174	#244D72	0
#3773A5	0.564935064935065	4	0.302371541501976	0.571428571428571	0.571428571428571	0.08	1	0.0454545454545455	0.564935064935065	0.282608695652174	0.322134387351779	#3773A5	0
#4187BF	0.694805194805195	5	0.341897233201581	0.714285714285714	0.714285714285714	0.1	1	0.0454545454545455	0.694805194805195	0.322134387351779	0.361660079051383	#4187BF	0
#3773A5	0.564935064935065	4	0.381422924901186	0.571428571428571	0.571428571428571	0.08	1	0.0454545454545455	0.564935064935065	0.361660079051383	0.401185770750988	#3773A5	0
#1B3B59	0.175324675324675	1	0.420948616600791	0.142857142857143	0.142857142857143	0.02	1	0.0454545454545455	0.175324675324675	0.401185770750988	0.440711462450593	#1B3B59	0
#244D72	0.305194805194805	2	0.460474308300395	0.285714285714286	0.285714285714286	0.04	1	0.0454545454545455	0.305194805194805	0.440711462450593	0.480237154150198	#244D72	0
#1B3B59	0.175324675324675	1	0.5	0.142857142857143	0.142857142857143	0.02	1	0.0454545454545455	0.175324675324675	0.480237154150198	0.519762845849802	#1B3B59	0
#1B3B59	0.175324675324675	1	0.539525691699605	0.142857142857143	0.142857142857143	0.02	1	0.0454545454545455	0.175324675324675	0.519762845849802	0.559288537549407	#1B3B59	0
#1B3B59	0.175324675324675	1	0.57905138339921	0.142857142857143	0.142857142857143	0.02	1	0.0454545454545455	0.175324675324675	0.559288537549407	0.598814229249012	#1B3B59	0
#1B3B59	0.175324675324675	1	0.618577075098814	0.142857142857143	0.142857142857143	0.02	1	0.0454545454545455	0.175324675324675	0.598814229249012	0.638339920948617	#1B3B59	0
#244D72	0.305194805194805	2	0.658102766798419	0.285714285714286	0.285714285714286	0.04	1	0.0454545454545455	0.305194805194805	0.638339920948617	0.677865612648221	#244D72	0
#1B3B59	0.175324675324675	1	0.697628458498024	0.142857142857143	0.142857142857143	0.02	1	0.0454545454545455	0.175324675324675	0.677865612648221	0.717391304347826	#1B3B59	0
#132B43	0.0454545454545455	0	0.737154150197629	0	0	0	1	0.0454545454545455	0.0454545454545455	0.717391304347826	0.756916996047431	#132B43	0
#132B43	0.0454545454545455	0	0.776679841897233	0	0	0	1	0.0454545454545455	0.0454545454545455	0.756916996047431	0.796442687747036	#132B43	0
#132B43	0.0454545454545455	0	0.816205533596838	0	0	0	1	0.0454545454545455	0.0454545454545455	0.796442687747036	0.83596837944664	#132B43	0
#132B43	0.0454545454545455	0	0.855731225296443	0	0	0	1	0.0454545454545455	0.0454545454545455	0.83596837944664	0.875494071146245	#132B43	0
#1B3B59	0.175324675324675	1	0.895256916996047	0.142857142857143	0.142857142857143	0.02	1	0.0454545454545455	0.175324675324675	0.875494071146245	0.91501976284585	#1B3B59	0
#132B43	0.0454545454545455	0	0.934782608695652	0	0	0	1	0.0454545454545455	0.0454545454545455	0.91501976284585	0.954545454545455	#132B43	0
