colour,fill,size,x,y,PANEL,group
#F8766D,#F8766D,2.37,0.626905838333146,0.653134067663945,1,1
#F8766D,#F8766D,1.8,0.518994244985099,0.656646608270275,1,1
#F8766D,#F8766D,3.36,0.649055530936851,0.791425390178109,1,1
#F8766D,#F8766D,1.41,0.518463280565944,0.584344293732321,1,1
#F8766D,#F8766D,3.67,0.816262444861894,0.657981270707914,1,1
#F8766D,#F8766D,2.1,0.589587215540077,0.646374768447881,1,1
#F8766D,#F8766D,2.12,0.585322275992367,0.655120348791479,1,1
#F8766D,#F8766D,1.69,0.476592001607057,0.657005345138595,1,1
#F8766D,#F8766D,1.68,0.552439074793754,0.600766998726612,1,1
#F8766D,#F8766D,2.42,0.612236304691471,0.681508859454848,1,1
#F8766D,#F8766D,2.69,0.571734268739434,0.743977607360957,1,1
#F8766D,#F8766D,3.52,0.760509923538331,0.72082210029031,1,1
#F8766D,#F8766D,2.43,0.534237950831716,0.727958807974364,1,1
#F8766D,#F8766D,2.97,0.630939966330222,0.750230154972224,1,1
#F8766D,#F8766D,1.13,0.479496781642364,0.584404111310376,1,1
#F8766D,#F8766D,2.37,0.60086962426763,0.682072742002852,1,1
#F8766D,#F8766D,2.12,0.601284583083299,0.634068687988845,1,1
#F8766D,#F8766D,2.92,0.686663321577624,0.691778301633492,1,1
#F8766D,#F8766D,2.93,0.459419091351419,0.793515296759825,1,1
#F8766D,#F8766D,2.76,0.698561826935042,0.621510034254928,1,1
#F8766D,#F8766D,2.11,0.480702973165808,0.703114659650443,1,1
#F8766D,#F8766D,3.15,0.757846680555231,0.585972716780461,1,1
#F8766D,#F8766D,2.6,0.458558541435551,0.757053824370064,1,1
#F8766D,#F8766D,2.63,0.686967607403764,0.581647794774386,1,1
#F8766D,#F8766D,2.62,0.601771649836653,0.719879295879063,1,1
#F8766D,#F8766D,1.53,0.53524127512919,0.587348233835463,1,1
#F8766D,#F8766D,2.56,0.531873030605362,0.7436602841691,1,1
#F8766D,#F8766D,1.82,0.575051277159732,0.584888236874711,1,1
#F8766D,#F8766D,1.42,0.510561885477603,0.606393192622106,1,1
#F8766D,#F8766D,1.47,0.464870375036974,0.634959245968308,1,1
#F8766D,#F8766D,1.34,0.469914898277809,0.620428522438756,1,1
#F8766D,#F8766D,3.01,0.663105294085126,0.73277559577367,1,1
#F8766D,#F8766D,1.52,0.489052833413081,0.635238559969022,1,1
#F8766D,#F8766D,1.23,0.461351062712854,0.608678972510206,1,1
#F8766D,#F8766D,2.86,0.5196348007573,0.780180626879762,1,1
#F8766D,#F8766D,3.2,0.760064611322707,0.624559600440812,1,1
#F8766D,#F8766D,1.09,0.459468921481233,0.594328608494237,1,1
#F8766D,#F8766D,2.7,0.688279342214894,0.630505793810827,1,1
#F8766D,#F8766D,2.78,0.686001748047637,0.659184539842351,1,1
#F8766D,#F8766D,1.84,0.569057408027253,0.616197455620915,1,1
#F8766D,#F8766D,1.87,0.568838688872755,0.625669048368711,1,1
#F8766D,#F8766D,1.66,0.470993352323269,0.654911492269008,1,1
#F8766D,#F8766D,1.77,0.507820147949039,0.658138939955064,1,1
#F8766D,#F8766D,2.74,0.592173847901027,0.741618825659492,1,1
#F8766D,#F8766D,2.41,0.649681847971413,0.621827598984062,1,1
#F8766D,#F8766D,1.96,0.51192214305801,0.679229725519468,1,1
#F8766D,#F8766D,2.12,0.556322912199781,0.678223767165544,1,1
#F8766D,#F8766D,1.22,0.473075548520652,0.605114874394895,1,1
#F8766D,#F8766D,1.61,0.484126495630414,0.647702626816095,1,1
#F8766D,#F8766D,3.22,0.632425947479759,0.78266554126072,1,1
#F8766D,#F8766D,3.06,0.736918403080364,0.636216294616703,1,1
#F8766D,#F8766D,1.24,0.482860511742749,0.602418159579541,1,1
#F8766D,#F8766D,1.75,0.470484332758143,0.664610871463641,1,1
#F8766D,#F8766D,1.38,0.502650570196679,0.609074763455963,1,1
#F8766D,#F8766D,2.95,0.667900465975876,0.717882263449564,1,1
#F8766D,#F8766D,2.15,0.619008910691171,0.596396459764081,1,1
#F8766D,#F8766D,1.13,0.478775332830666,0.588126895040729,1,1
#F8766D,#F8766D,1.48,0.506445932527166,0.620814655323719,1,1
#F8766D,#F8766D,3.56,0.633201231291673,0.824866208935684,1,1
#F8766D,#F8766D,2.53,0.581000893182226,0.719750387953766,1,1
#F8766D,#F8766D,1.68,0.550310074216423,0.606972946885942,1,1
#F8766D,#F8766D,1.53,0.531703134272379,0.598680866964485,1,1
#F8766D,#F8766D,1.57,0.524759002184547,0.619421274311653,1,1
#F8766D,#F8766D,2.35,0.624951732782131,0.651531162161353,1,1
#F8766D,#F8766D,3.86,0.680259034470616,0.840733313228837,1,1
#F8766D,#F8766D,1.46,0.523319029095673,0.596790225103602,1,1
#F8766D,#F8766D,2.34,0.61206641479002,0.667558470507552,1,1
#F8766D,#F8766D,1.91,0.482664022411216,0.681307023047789,1,1
#F8766D,#F8766D,2.8,0.692669572293403,0.652621287902656,1,1
#F8766D,#F8766D,3.47,0.768066992263516,0.698743031739392,1,1
#F8766D,#F8766D,2.59,0.672437955353631,0.627869814637536,1,1
#F8766D,#F8766D,2.41,0.462845225526911,0.737218998830608,1,1
#F8766D,#F8766D,3.72,0.794500746863342,0.716710913308209,1,1
#F8766D,#F8766D,2.03,0.60028248478418,0.607844463551104,1,1
#F8766D,#F8766D,2.48,0.519385603040147,0.737412453358685,1,1
#F8766D,#F8766D,2.47,0.505818319027115,0.738944082995669,1,1
#F8766D,#F8766D,2.32,0.463183633000049,0.727077359059203,1,1
#F8766D,#F8766D,1.95,0.496579115017452,0.68314872920565,1,1
#F8766D,#F8766D,1.11,0.474305354858167,0.589625157310629,1,1
#F8766D,#F8766D,4.23,0.907132955555589,0.58284926220197,1,1
#F8766D,#F8766D,1.57,0.50798157829438,0.632424229846629,1,1
#F8766D,#F8766D,3.06,0.705526798090306,0.69581933449292,1,1
#F8766D,#F8766D,1.29,0.4753345148789,0.612564564111929,1,1
#F8766D,#F8766D,2.19,0.61771979144555,0.622150452262131,1,1
#F8766D,#F8766D,4.04,0.659073838412906,0.874270654180222,1,1
#F8766D,#F8766D,2.78,0.706138423353219,0.599917222930455,1,1
#F8766D,#F8766D,1.94,0.468439260368384,0.68619221577494,1,1
#F8766D,#F8766D,1.76,0.565738946025823,0.590303005462946,1,1
#F8766D,#F8766D,2.96,0.536700725166948,0.788010124629276,1,1
#F8766D,#F8766D,2.9,0.678890145824377,0.697777515661304,1,1
#F8766D,#F8766D,2.61,0.611897579294596,0.711282552688501,1,1
#F8766D,#F8766D,2.53,0.669610008517441,0.611129920675296,1,1
#F8766D,#F8766D,2.07,0.469572064981809,0.700139654253646,1,1
#F8766D,#F8766D,1.92,0.548506283342007,0.655769584822414,1,1
#F8766D,#F8766D,2.07,0.464671440053148,0.700133466028243,1,1
#F8766D,#F8766D,2.12,0.536410738294793,0.689797682412547,1,1
#F8766D,#F8766D,3.74,0.546314777751119,0.873072163330219,1,1
#F8766D,#F8766D,1.68,0.543119295140552,0.61909729433569,1,1
#F8766D,#F8766D,1.34,0.504998690366769,0.59730730324845,1,1
#F8766D,#F8766D,2.77,0.646311051729482,0.708037044374933,1,1
#F8766D,#F8766D,1.79,0.515906408924538,0.656643190675993,1,1
#F8766D,#F8766D,3.18,0.638777813679801,0.774205064806704,1,1
#F8766D,#F8766D,2.65,0.684330339340291,0.621348928523456,1,1
#F8766D,#F8766D,1.98,0.483125865778319,0.688744599737765,1,1
#F8766D,#F8766D,2.66,0.687426422042416,0.612822854867165,1,1
#F8766D,#F8766D,2.51,0.648461350083174,0.653251296857563,1,1
#F8766D,#F8766D,3.85,0.794244127725504,0.74616784503707,1,1
#F8766D,#F8766D,1.45,0.473898332694464,0.631422604720444,1,1
#F8766D,#F8766D,3.12,0.557942601345873,0.800412085447512,1,1
#F8766D,#F8766D,1.71,0.547227313207977,0.62080025391899,1,1
#F8766D,#F8766D,3.54,0.630811730376221,0.824417483599279,1,1
#F8766D,#F8766D,2.63,0.586829487244538,0.729584243569109,1,1
#F8766D,#F8766D,2.18,0.584036856080761,0.667544616593459,1,1
#F8766D,#F8766D,1.77,0.528245239786718,0.647887679123394,1,1
