linetype,x,xend,y,yend,PANEL,group
solid,0.348484848484848,0.954545454545455,0.0454545454545455,0.0454545454545455,1,13
22,0.348484848484848,0.954545454545455,0.121212121212121,0.121212121212121,1,4
42,0.348484848484848,0.954545454545455,0.196969696969697,0.196969696969697,1,7
44,0.348484848484848,0.954545454545455,0.272727272727273,0.272727272727273,1,8
13,0.348484848484848,0.954545454545455,0.348484848484848,0.348484848484848,1,2
1343,0.348484848484848,0.954545454545455,0.424242424242424,0.424242424242424,1,3
73,0.348484848484848,0.954545454545455,0.5,0.5,1,9
2262,0.348484848484848,0.954545454545455,0.575757575757576,0.575757575757576,1,6
12223242,0.348484848484848,0.954545454545455,0.651515151515151,0.651515151515151,1,1
F282,0.348484848484848,0.954545454545455,0.727272727272727,0.727272727272727,1,11
F4448444,0.348484848484848,0.954545454545455,0.803030303030303,0.803030303030303,1,12
224282F2,0.348484848484848,0.954545454545455,0.878787878787879,0.878787878787879,1,5
F1,0.348484848484848,0.954545454545455,0.954545454545455,0.954545454545455,1,10
