colour	fill	size	x	y	clickSelects
#7CAE00	#7CAE00	1	0.516921089861832	0.495180677485852	Q2
#7CAE00	#7CAE00	3.46	0.437549043752854	0.720694925833883	Q2
#7CAE00	#7CAE00	1.51	0.506617051880545	0.543792827123802	Q2
#7CAE00	#7CAE00	1.97	0.454957119181204	0.570518684153169	Q2
#7CAE00	#7CAE00	4.14	0.349613912749677	0.756471615769791	Q2
#7CAE00	#7CAE00	2.43	0.428589012658292	0.607885809755242	Q2
#7CAE00	#7CAE00	3.07	0.501019620517114	0.694315950931022	Q2
#7CAE00	#7CAE00	3.77	0.457047326846205	0.756719966767073	Q2
#7CAE00	#7CAE00	2.96	0.326545044581581	0.576702229237665	Q2
#7CAE00	#7CAE00	2.38	0.366499339438948	0.510657327499233	Q2
#7CAE00	#7CAE00	1.32	0.505653028642286	0.524010596017858	Q2
#7CAE00	#7CAE00	2.62	0.450511672898605	0.639795058337239	Q2
#7CAE00	#7CAE00	2.78	0.342916172426022	0.567589541307512	Q2
#7CAE00	#7CAE00	2.07	0.505407582804397	0.597882469959809	Q2
#7CAE00	#7CAE00	3.15	0.402513133524849	0.674345755108789	Q2
#7CAE00	#7CAE00	1.64	0.504786328145488	0.556022154238583	Q2
#7CAE00	#7CAE00	3.23	0.27525670669149	0.493003506879001	Q2
#7CAE00	#7CAE00	4.56	0.150066541258405	0.587878874248163	Q2
#7CAE00	#7CAE00	2	0.410187466131694	0.519955339009886	Q2
#7CAE00	#7CAE00	3.05	0.414406493906318	0.670001895820383	Q2
#7CAE00	#7CAE00	2.46	0.457680941202206	0.625205985526694	Q2
#7CAE00	#7CAE00	3.25	0.356370332036677	0.656103113638045	Q2
#7CAE00	#7CAE00	2.02	0.408642752858435	0.52132684584806	Q2
#7CAE00	#7CAE00	1.9	0.435139020500426	0.543148996716706	Q2
#7CAE00	#7CAE00	4.34	0.218973844926606	0.670756900855543	Q2
#7CAE00	#7CAE00	1.39	0.476663685791358	0.512654466825591	Q2
#7CAE00	#7CAE00	1.84	0.479162258971857	0.56855797647208	Q2
#7CAE00	#7CAE00	2.82	0.317847643107583	0.496714456273474	Q2
#7CAE00	#7CAE00	2.31	0.38067469737569	0.533856663440528	Q2
#7CAE00	#7CAE00	3.2	0.278977048932079	0.509820608257363	Q2
#7CAE00	#7CAE00	1.7	0.507663214399197	0.562489418352461	Q2
#7CAE00	#7CAE00	2.41	0.378523664452664	0.553188515341556	Q2
#7CAE00	#7CAE00	2.17	0.426505788207328	0.57366565594856	Q2
#7CAE00	#7CAE00	2.13	0.442381942789587	0.58178046913131	Q2
#7CAE00	#7CAE00	2.15	0.403006063354299	0.54297214425976	Q2
#7CAE00	#7CAE00	2.52	0.377562460464902	0.573097879339038	Q2
#7CAE00	#7CAE00	2.46	0.452723007211817	0.623865989704624	Q2
#7CAE00	#7CAE00	1.65	0.45652124531488	0.530478788353678	Q2
#7CAE00	#7CAE00	2.55	0.364669532483419	0.559120213548167	Q2
#7CAE00	#7CAE00	3.04	0.308364921371642	0.558788448504158	Q2
#7CAE00	#7CAE00	2.57	0.514255134270641	0.646335099215557	Q2
#7CAE00	#7CAE00	3.98	0.396753262850121	0.760753632543192	Q2
#7CAE00	#7CAE00	1.14	0.498259696826796	0.497991214136509	Q2
#7CAE00	#7CAE00	4.27	0.421253934058065	0.797699989638124	Q2
#7CAE00	#7CAE00	2.46	0.483923034340306	0.632863166134618	Q2
#7CAE00	#7CAE00	3.78	0.225242018987977	0.553619698215226	Q2
#7CAE00	#7CAE00	3.23	0.299625299509483	0.585584604008914	Q2
#7CAE00	#7CAE00	2.52	0.46329695001794	0.63383616032712	Q2
#7CAE00	#7CAE00	2.51	0.373188791533705	0.564211645535704	Q2
#7CAE00	#7CAE00	3.46	0.261520698999251	0.555720972104705	Q2
#7CAE00	#7CAE00	2.42	0.499296171650838	0.631133634505616	Q2
#7CAE00	#7CAE00	1.66	0.478041327289307	0.548683764702249	Q2
#7CAE00	#7CAE00	6	0.357805245788965	0.954545454545455	Q2
#7CAE00	#7CAE00	1.91	0.51533058815132	0.582918715751575	Q2
#7CAE00	#7CAE00	1.68	0.463402974325662	0.540917264447924	Q2
#7CAE00	#7CAE00	2.31	0.381879607836052	0.537745711760347	Q2
#7CAE00	#7CAE00	3.69	0.343924980781093	0.701261932356639	Q2
#7CAE00	#7CAE00	3.76	0.342581976779552	0.708955647748888	Q2
#7CAE00	#7CAE00	2.35	0.37372755226585	0.525074744463631	Q2
#7CAE00	#7CAE00	1.16	0.499681209028807	0.503427952146975	Q2
#7CAE00	#7CAE00	1.21	0.501005540628903	0.510865567300263	Q2
#7CAE00	#7CAE00	2.93	0.307220613465296	0.501750137805548	Q2
#7CAE00	#7CAE00	1.63	0.446232125362016	0.504957105755757	Q2
#7CAE00	#7CAE00	4.56	0.199646643155396	0.683758344943925	Q2
#7CAE00	#7CAE00	4	0.309554814674897	0.715480940747678	Q2
