alpha	colour	fill	x	y	clickSelects
1	#C77CFF	#C77CFF	0.679934693494284	0.410132114266881	Q4
1	#C77CFF	#C77CFF	0.525148859311757	0.468157256439029	Q4
1	#C77CFF	#C77CFF	0.601093017291532	0.440837490165559	Q4
1	#C77CFF	#C77CFF	0.638016810694933	0.334444250164798	Q4
1	#C77CFF	#C77CFF	0.555155352157109	0.457114143056355	Q4
1	#C77CFF	#C77CFF	0.585282878585855	0.460379761017912	Q4
1	#C77CFF	#C77CFF	0.589661340639219	0.373606725375913	Q4
1	#C77CFF	#C77CFF	0.625399980710104	0.268222805188334	Q4
1	#C77CFF	#C77CFF	0.541883356976745	0.421204152588186	Q4
1	#C77CFF	#C77CFF	0.58769144838307	0.437028994138685	Q4
1	#C77CFF	#C77CFF	0.711378252233661	0.453257610871489	Q4
1	#C77CFF	#C77CFF	0.554453129580129	0.476302311813573	Q4
1	#C77CFF	#C77CFF	0.531774250225197	0.427362115007911	Q4
1	#C77CFF	#C77CFF	0.632968438859862	0.21655347420403	Q4
1	#C77CFF	#C77CFF	0.571668336884325	0.316903493938513	Q4
1	#C77CFF	#C77CFF	0.517465156341673	0.484447851946931	Q4
1	#C77CFF	#C77CFF	0.586740517837641	0.300777043461271	Q4
1	#C77CFF	#C77CFF	0.617859747231913	0.488890244173451	Q4
1	#C77CFF	#C77CFF	0.592739394986024	0.489218069675434	Q4
1	#C77CFF	#C77CFF	0.560040265828709	0.336286748191205	Q4
1	#C77CFF	#C77CFF	0.601544687190431	0.382973699887779	Q4
1	#C77CFF	#C77CFF	0.676208540745025	0.402677452095176	Q4
1	#C77CFF	#C77CFF	0.954545454545455	0.460727235662415	Q4
1	#C77CFF	#C77CFF	0.520083646793184	0.368182047840252	Q4
1	#C77CFF	#C77CFF	0.64711893340314	0.464209933376519	Q4
1	#C77CFF	#C77CFF	0.713235521606753	0.389363437385673	Q4
1	#C77CFF	#C77CFF	0.618533961737742	0.444384350070806	Q4
1	#C77CFF	#C77CFF	0.553182821852572	0.350279624191463	Q4
1	#C77CFF	#C77CFF	0.769626303194055	0.278898074788324	Q4
1	#C77CFF	#C77CFF	0.560056105682579	0.294585962384141	Q4
1	#C77CFF	#C77CFF	0.71534681384243	0.389228014576188	Q4
1	#C77CFF	#C77CFF	0.564466004221789	0.370830310655281	Q4
1	#C77CFF	#C77CFF	0.548070629882043	0.36365943407872	Q4
1	#C77CFF	#C77CFF	0.673252042089892	0.468468840532834	Q4
1	#C77CFF	#C77CFF	0.798717926725499	0.472281055633597	Q4
1	#C77CFF	#C77CFF	0.648913995206189	0.267068211226828	Q4
1	#C77CFF	#C77CFF	0.563297198737052	0.4831486515539	Q4
1	#C77CFF	#C77CFF	0.583387467366568	0.454475374531884	Q4
1	#C77CFF	#C77CFF	0.788556883218616	0.304357222181177	Q4
1	#C77CFF	#C77CFF	0.681523179936744	0.426396783953348	Q4
1	#C77CFF	#C77CFF	0.645106744929613	0.389739494656683	Q4
1	#C77CFF	#C77CFF	0.88078477523481	0.439423917537019	Q4
1	#C77CFF	#C77CFF	0.62163630610786	0.484573214404933	Q4
1	#C77CFF	#C77CFF	0.572793851414558	0.443283602662947	Q4
1	#C77CFF	#C77CFF	0.680288708109801	0.345478508845234	Q4
1	#C77CFF	#C77CFF	0.922596344953234	0.336991305287335	Q4
1	#C77CFF	#C77CFF	0.811316206340575	0.367888818598977	Q4
1	#C77CFF	#C77CFF	0.665330376289014	0.476582258614646	Q4
1	#C77CFF	#C77CFF	0.775678474720806	0.328416467056544	Q4
1	#C77CFF	#C77CFF	0.791825313355125	0.317673191312189	Q4
1	#C77CFF	#C77CFF	0.530405715812691	0.211422240399074	Q4
1	#C77CFF	#C77CFF	0.585947571405122	0.335462095196914	Q4
1	#C77CFF	#C77CFF	0.562681568916586	0.356858237735166	Q4
1	#C77CFF	#C77CFF	0.689452769342549	0.281502102726075	Q4
1	#C77CFF	#C77CFF	0.528832234375903	0.431885204836686	Q4
1	#C77CFF	#C77CFF	0.527899038599061	0.331126113195484	Q4
1	#C77CFF	#C77CFF	0.647895823538574	0.390696150986881	Q4
1	#C77CFF	#C77CFF	0.512892367711976	0.45006504298466	Q4
1	#C77CFF	#C77CFF	0.660593512204766	0.443948347181414	Q4
1	#C77CFF	#C77CFF	0.574844805995992	0.405649361339089	Q4
1	#C77CFF	#C77CFF	0.670400531717722	0.407161466440198	Q4
1	#C77CFF	#C77CFF	0.53738959791517	0.461920554371792	Q4
1	#C77CFF	#C77CFF	0.550635480898114	0.340777620426938	Q4
1	#C77CFF	#C77CFF	0.743586922915159	0.480322106265595	Q4
1	#C77CFF	#C77CFF	0.535423121688283	0.397990932207722	Q4
1	#C77CFF	#C77CFF	0.61818679655413	0.368622813632545	Q4
1	#C77CFF	#C77CFF	0.631557220853107	0.425376944082137	Q4
1	#C77CFF	#C77CFF	0.631457246528183	0.291588107666916	Q4
1	#C77CFF	#C77CFF	0.611955868429143	0.466476571900502	Q4
1	#C77CFF	#C77CFF	0.689961784552047	0.486058173943155	Q4
1	#C77CFF	#C77CFF	0.532195874668344	0.373739265491919	Q4
1	#C77CFF	#C77CFF	0.60240512564305	0.48685457998491	Q4
1	#C77CFF	#C77CFF	0.942199785365528	0.370769526131811	Q4
1	#C77CFF	#C77CFF	0.547231848379991	0.403572327791149	Q4
1	#C77CFF	#C77CFF	0.589833462963862	0.437545569509129	Q4
1	#C77CFF	#C77CFF	0.911611830598212	0.399046992596904	Q4
1	#C77CFF	#C77CFF	0.61220300183121	0.345683175569558	Q4
1	#C77CFF	#C77CFF	0.670419601041782	0.230512087058563	Q4
1	#C77CFF	#C77CFF	0.943994264950889	0.440710736269665	Q4
1	#C77CFF	#C77CFF	0.674466394722328	0.304212538518881	Q4
1	#C77CFF	#C77CFF	0.568675324828637	0.408662488933587	Q4
1	#C77CFF	#C77CFF	0.643146844935725	0.242716397870964	Q4
1	#C77CFF	#C77CFF	0.769034894897189	0.423302585050559	Q4
1	#C77CFF	#C77CFF	0.579943214266276	0.401517513151094	Q4
1	#C77CFF	#C77CFF	0.657672234331199	0.47860408313587	Q4
1	#C77CFF	#C77CFF	0.668706405439642	0.272614812421664	Q4
1	#C77CFF	#C77CFF	0.586413202163997	0.45970123426642	Q4
1	#C77CFF	#C77CFF	0.597780099563197	0.481403270840195	Q4
1	#C77CFF	#C77CFF	0.533638807741163	0.350053085875039	Q4
1	#C77CFF	#C77CFF	0.773445546874181	0.37999135479433	Q4
1	#C77CFF	#C77CFF	0.551643422042027	0.413553428730941	Q4
1	#C77CFF	#C77CFF	0.554029170284226	0.426180287193745	Q4
