alpha	colour	fill	x	y	clickSelects
0.6224	#C77CFF	#C77CFF	0.576346303920934	0.463516672312627	Q4
0.6672	#C77CFF	#C77CFF	0.567397433242048	0.386525281824234	Q4
0.844	#C77CFF	#C77CFF	0.848172465368022	0.406278634289725	Q4
0.8656	#C77CFF	#C77CFF	0.596444546850983	0.12416521132279	Q4
0.7672	#C77CFF	#C77CFF	0.701163671601771	0.323030833436308	Q4
0.78	#C77CFF	#C77CFF	0.739978774024139	0.348053873810135	Q4
0.8032	#C77CFF	#C77CFF	0.777348993194656	0.356749935075139	Q4
0.7168	#C77CFF	#C77CFF	0.672884402824897	0.392663579368907	Q4
0.7616	#C77CFF	#C77CFF	0.550818200224476	0.257975652088269	Q4
0.9112	#C77CFF	#C77CFF	0.881140981741718	0.259894864682772	Q4
0.688	#C77CFF	#C77CFF	0.658872409266687	0.454400806947426	Q4
0.7504	#C77CFF	#C77CFF	0.738789584649757	0.466901003502437	Q4
0.7608	#C77CFF	#C77CFF	0.718612199146606	0.359628051273115	Q4
0.8304	#C77CFF	#C77CFF	0.713477778713865	0.223361501554045	Q4
0.6616	#C77CFF	#C77CFF	0.561111606980479	0.393031463439313	Q4
0.6352	#C77CFF	#C77CFF	0.57445120175184	0.43644118874734	Q4
0.672	#C77CFF	#C77CFF	0.571362128251034	0.381153150386737	Q4
0.7072	#C77CFF	#C77CFF	0.682207159411	0.449845372754603	Q4
0.7704	#C77CFF	#C77CFF	0.76232707836215	0.452187430202638	Q4
0.8624	#C77CFF	#C77CFF	0.550962758916368	0.124187065964646	Q4
0.7096	#C77CFF	#C77CFF	0.601739443058068	0.339207014509254	Q4
0.7888	#C77CFF	#C77CFF	0.603224593022313	0.229261772347108	Q4
0.7392	#C77CFF	#C77CFF	0.593933551662643	0.294897124572403	Q4
0.6624	#C77CFF	#C77CFF	0.591917763810921	0.404988320881054	Q4
0.7928	#C77CFF	#C77CFF	0.743542530608678	0.323543761907934	Q4
0.776	#C77CFF	#C77CFF	0.681449736991839	0.287402270551495	Q4
0.72	#C77CFF	#C77CFF	0.697418768699452	0.445595722484793	Q4
0.7928	#C77CFF	#C77CFF	0.777681592841477	0.393619048280809	Q4
0.6864	#C77CFF	#C77CFF	0.635928657966945	0.407004576263236	Q4
0.7168	#C77CFF	#C77CFF	0.627526148537865	0.34326922338616	Q4
0.692	#C77CFF	#C77CFF	0.665066943169239	0.465284412503645	Q4
0.664	#C77CFF	#C77CFF	0.602074972279097	0.410135722482222	Q4
0.7392	#C77CFF	#C77CFF	0.608888875930267	0.300519704917	Q4
0.6264	#C77CFF	#C77CFF	0.579481083926556	0.460075972711997	Q4
0.7672	#C77CFF	#C77CFF	0.70572726247671	0.327710001108468	Q4
0.8192	#C77CFF	#C77CFF	0.620776965878983	0.192425127198146	Q4
0.664	#C77CFF	#C77CFF	0.630241188026297	0.467336146449611	Q4
0.6296	#C77CFF	#C77CFF	0.574452753403151	0.445119236652563	Q4
0.7072	#C77CFF	#C77CFF	0.545942243700168	0.330770072024068	Q4
0.756	#C77CFF	#C77CFF	0.743781943388792	0.453705240260029	Q4
0.7856	#C77CFF	#C77CFF	0.766857342286281	0.389067422202909	Q4
0.844	#C77CFF	#C77CFF	0.584774336749218	0.151428147665706	Q4
0.6464	#C77CFF	#C77CFF	0.603880157684943	0.452307332343275	Q4
0.7336	#C77CFF	#C77CFF	0.696454967648963	0.391700118753579	Q4
0.6768	#C77CFF	#C77CFF	0.614118467862454	0.399271262739363	Q4
0.8184	#C77CFF	#C77CFF	0.741387996229007	0.268407044136077	Q4
0.736	#C77CFF	#C77CFF	0.649596387698447	0.329496073467476	Q4
0.7952	#C77CFF	#C77CFF	0.583164329684508	0.216321472219856	Q4
0.7368	#C77CFF	#C77CFF	0.698917566011517	0.386125957185347	Q4
0.7456	#C77CFF	#C77CFF	0.681675430638966	0.341702963411792	Q4
0.6288	#C77CFF	#C77CFF	0.56667339815726	0.440939765034593	Q4
0.6792	#C77CFF	#C77CFF	0.556053539232476	0.367860662509512	Q4
0.7744	#C77CFF	#C77CFF	0.767361896911017	0.452834114847617	Q4
0.7184	#C77CFF	#C77CFF	0.698454620989478	0.471937134670454	Q4
0.9128	#C77CFF	#C77CFF	0.931590832267991	0.385622902768093	Q4
0.776	#C77CFF	#C77CFF	0.607261321314259	0.248301359682015	Q4
0.7368	#C77CFF	#C77CFF	0.664599366457011	0.340713814077496	Q4
0.868	#C77CFF	#C77CFF	0.63604368132747	0.130502011542302	Q4
0.7632	#C77CFF	#C77CFF	0.754646002648739	0.468942808034626	Q4
0.6848	#C77CFF	#C77CFF	0.653863117117278	0.451900391050406	Q4
0.6704	#C77CFF	#C77CFF	0.548382251061888	0.379780896244583	Q4
0.7208	#C77CFF	#C77CFF	0.653115398747206	0.358073859133732	Q4
0.708	#C77CFF	#C77CFF	0.561045922342929	0.330175271188629	Q4
0.7288	#C77CFF	#C77CFF	0.672851415941591	0.36573144473715	Q4
0.7448	#C77CFF	#C77CFF	0.637552291410056	0.306409964084685	Q4
0.808	#C77CFF	#C77CFF	0.730151503287039	0.276282541888048	Q4
0.8296	#C77CFF	#C77CFF	0.736084109753816	0.243602800927781	Q4
0.8328	#C77CFF	#C77CFF	0.754973116888836	0.256445424824235	Q4
0.7416	#C77CFF	#C77CFF	0.657420882006984	0.326354286202803	Q4
0.8776	#C77CFF	#C77CFF	0.843302381171099	0.280706118018363	Q4
0.824	#C77CFF	#C77CFF	0.793237080127421	0.330010297143893	Q4
0.6472	#C77CFF	#C77CFF	0.609615779538777	0.467492383908755	Q4
0.8456	#C77CFF	#C77CFF	0.581961775148807	0.148957397523476	Q4
