fill	colour	x	y	density	group	level	piece	xmin	xmax	ymin	ymax
#204566	#204566	0.0606060606060606	0.0454545454545455	0.00018342794484592	1	1	1	0.0454545454545454	0.0757575757575757	NA	0.061128526645768
#27547A	#27547A	0.0909090909090909	0.0454545454545455	0.00027606676347311	1	1	1	0.0757575757575757	0.106060606060606	NA	0.061128526645768
#2A5981	#2A5981	0.121212121212121	0.0454545454545455	0.000305669615819515	1	1	1	0.106060606060606	0.136363636363636	NA	0.061128526645768
#265176	#265176	0.151515151515151	0.0454545454545455	0.000255807934350503	1	1	1	0.136363636363636	0.166666666666667	NA	0.061128526645768
#1F4363	#1F4363	0.181818181818182	0.0454545454545455	0.000168928882721762	1	1	1	0.166666666666667	0.196969696969697	NA	0.061128526645768
#193753	#193753	0.212121212121212	0.0454545454545455	9.27131051841914e-05	1	1	1	0.196969696969697	0.227272727272727	NA	0.061128526645768
#153049	#153049	0.242424242424242	0.0454545454545455	4.40516811793296e-05	1	1	1	0.227272727272727	0.257575757575757	NA	0.061128526645768
#132C44	#132C44	0.272727272727273	0.0454545454545455	1.85074469784098e-05	1	1	1	0.257575757575757	0.287878787878788	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.303030303030303	0.0454545454545455	6.96564973590718e-06	1	1	1	0.287878787878788	0.318181818181818	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.333333333333333	0.0454545454545455	2.37090500539091e-06	1	1	1	0.318181818181818	0.348484848484848	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.363636363636364	0.0454545454545455	7.55667970217778e-07	1	1	1	0.348484848484848	0.378787878787879	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.393939393939394	0.0454545454545455	2.63118934751016e-07	1	1	1	0.378787878787879	0.409090909090909	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.424242424242424	0.0454545454545455	1.1592305143854e-07	1	1	1	0.409090909090909	0.439393939393939	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.454545454545454	0.0454545454545455	5.39187404911896e-08	1	1	1	0.439393939393939	0.469696969696969	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.484848484848485	0.0454545454545455	2.09858087038174e-08	1	1	1	0.46969696969697	0.5	NA	0.061128526645768
